,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
2,7184710887,7995,2010.0,chevrolet,equinox,good,4 cylinders,gas,108124.0,automatic,SUV,45.6836,-92.9648
3,7184710023,8995,2011.0,chevrolet,traverse,good,6 cylinders,gas,178054.0,automatic,SUV,45.6836,-92.9648
4,7184709156,10995,2014.0,ford,explorer,good,6 cylinders,gas,170259.0,automatic,SUV,45.6836,-92.9648
16,7184313135,10900,2015.0,nissan,rogue select,excellent,4 cylinders,gas,90112.0,automatic,SUV,46.6724,-92.2268
18,7184247974,12984,2016.0,nissan,rogue,excellent,4 cylinders,gas,86942.0,automatic,SUV,45.0645,-93.3413
20,7184232227,17382,2015.0,nissan,pathfinder,excellent,6 cylinders,gas,48932.0,automatic,SUV,45.0645,-93.3413
21,7184208717,25730,2017.0,ford,explorer,excellent,6 cylinders,gas,49858.0,automatic,SUV,45.0645,-93.3413
22,7184193032,15482,2016.0,subaru,crosstrek,excellent,4 cylinders,gas,45431.0,automatic,SUV,45.0645,-93.3413
26,7195072095,18495,2011.0,rover,sport,excellent,8 cylinders,gas,94448.0,automatic,SUV,33.4542,-111.926
32,7184020236,21000,2019.0,subaru,forester,excellent,4 cylinders,gas,8000.0,automatic,SUV,46.6724,-92.2268
41,7183702059,2800,2007.0,hyundai,sante fe gls,good,6 cylinders,gas,230500.0,automatic,SUV,46.7408,-92.1698
42,7183695416,8800,2011.0,chevrolet,traverse ltz awd,excellent,6 cylinders,gas,143700.0,automatic,SUV,47.8536,-92.6933
43,7183645822,14500,2011.0,nissan,murano sl,excellent,6 cylinders,gas,53300.0,automatic,SUV,47.2348,-93.5115
47,7183372649,21500,2014.0,chevrolet,suburban,excellent,8 cylinders,gas,115000.0,automatic,SUV,47.96,-90.5646
50,7195071361,18995,2012.0,cadillac,escalade esv platinum,excellent,8 cylinders,gas,160025.0,automatic,SUV,33.4542,-111.926
54,7195070652,14495,2013.0,bmw,x5 xdrive35i premium,excellent,6 cylinders,gas,125147.0,automatic,SUV,33.4542,-111.926
66,7195062646,13800,2008.0,chevrolet,tahoe,good,8 cylinders,gas,108869.0,automatic,SUV,42.7904,-73.9809
68,7195176980,9500,1992.0,ford,bronco,excellent,8 cylinders,gas,193000.0,automatic,SUV,41.5817,-73.4128
71,7195059463,4500,2005.0,nissan,armada,good,8 cylinders,gas,195413.0,automatic,SUV,35.024,-106.784
75,7191729087,500,1997.0,chevrolet,blazer,excellent,6 cylinders,gas,158000.0,automatic,SUV,33.5621,-101.856
76,7194044322,4300,1998.0,jeep,wrangler,fair,6 cylinders,gas,144263.0,manual,SUV,41.2175,-73.0549
77,7193620056,4200,2005.0,jeep,grand cherokee limited,excellent,8 cylinders,gas,152000.0,automatic,SUV,42.0016,-72.9242
78,7195196048,2000,2001.0,toyota,highlander limited,fair,6 cylinders,gas,250000.0,automatic,SUV,39.1208,-76.8435
80,7191606539,1500,2011.0,gmc,terrain slt,excellent,4 cylinders,gas,105000.0,automatic,SUV,33.5623,-101.857
87,7187778366,6200,2008.0,ford,edge sel awd,good,6 cylinders,gas,145955.0,automatic,SUV,46.8757,-96.8842
89,7187759753,5500,2011.0,ford,escape,good,6 cylinders,gas,142055.0,automatic,SUV,46.8757,-96.8841
92,7187663449,17995,2019.0,hyundai,tucson,like new,4 cylinders,gas,22289.0,automatic,SUV,45.8327,-95.3891
93,7187660653,6995,2013.0,kia,soul,excellent,4 cylinders,gas,110346.0,automatic,SUV,45.8327,-95.3892
94,7187634994,17237,2017.0,nissan,rogue,excellent,4 cylinders,gas,28269.0,automatic,SUV,46.5767,-95.5747
95,7187633336,11999,2017.0,dodge,journey,excellent,4 cylinders,gas,66782.0,automatic,SUV,46.5764,-95.5747
96,7187579742,6900,2013.0,gmc,terrain,excellent,4 cylinders,gas,130348.0,automatic,SUV,46.8564,-96.8123
127,7187339988,16990,2018.0,ford,edge titanium,excellent,4 cylinders,gas,110000.0,automatic,SUV,46.9149,-98.0269
128,7181238972,9500,2011.0,jeep,liberty limited 4wd,excellent,6 cylinders,gas,152000.0,automatic,SUV,34.7375,-77.4628
129,7181217456,12900,2011.0,ford,explorer,excellent,6 cylinders,gas,112447.0,automatic,SUV,35.9786,-77.7923
139,7187032419,2500,1990.0,jeep,cherokee,fair,6 cylinders,gas,178000.0,automatic,SUV,38.8419,-78.5997
141,7186975844,8500,2012.0,buick,enclave,good,6 cylinders,gas,151000.0,automatic,SUV,46.946,-95.2276
149,7186688555,6990,2008.0,chevrolet,trail blazer lt 4x4,excellent,6 cylinders,gas,134000.0,automatic,SUV,38.9268,-78.1796
151,7180831802,33500,2018.0,volkswagen,atlas sel premium,like new,6 cylinders,gas,50066.0,automatic,SUV,34.7285,-76.9515
157,7186652375,7990,2010.0,jeep,grand cherokee laredo 4x4,excellent,6 cylinders,gas,97426.0,automatic,SUV,38.9268,-78.1796
162,7186402836,10995,2013.0,ford,escape,excellent,4 cylinders,gas,103240.0,automatic,SUV,39.1453,-78.189
164,7186388058,8995,1997.0,jeep,wrangler / tj,excellent,6 cylinders,gas,174599.0,automatic,SUV,39.1453,-78.189
165,7186387924,16995,2016.0,jeep,grand cherokee,excellent,6 cylinders,gas,103600.0,automatic,SUV,39.1453,-78.189
170,7186363220,8995,2011.0,ford,edge,excellent,6 cylinders,gas,141690.0,automatic,SUV,39.1453,-78.189
171,7195162450,30500,2018.0,jeep,grand cherokee,excellent,6 cylinders,gas,24000.0,automatic,SUV,38.7894,-77.2818
173,7186363004,12995,2008.0,jeep,wrangler,excellent,6 cylinders,gas,128929.0,automatic,SUV,39.1453,-78.189
174,7186362903,16695,2015.0,ford,edge,excellent,6 cylinders,gas,84550.0,automatic,SUV,39.1453,-78.189
176,7180248818,7500,2000.0,ford,excursion xlt,excellent,10 cylinders,gas,253000.0,manual,SUV,35.4365,-77.1681
177,7186362754,7995,2010.0,volvo,xc90,excellent,6 cylinders,gas,111090.0,automatic,SUV,39.1453,-78.189
181,7186362361,9495,2014.0,jeep,compass,excellent,4 cylinders,gas,69618.0,automatic,SUV,39.1453,-78.189
183,7186362093,11495,2015.0,hyundai,tucson,excellent,4 cylinders,gas,68670.0,automatic,SUV,39.1453,-78.189
190,7186188333,5450,2005.0,chevrolet,equinox,excellent,6 cylinders,gas,138000.0,automatic,SUV,38.9674,-78.4096
195,7185952825,14799,2017.0,kia,sportage,excellent,4 cylinders,gas,44026.0,automatic,SUV,39.1501,-78.269
199,7185875226,7750,2011.0,ford,escape xlt,excellent,6 cylinders,gas,113000.0,automatic,SUV,38.9268,-78.1796
201,7186072436,30995,2020.0,buick,enclave,excellent,6 cylinders,gas,35915.0,automatic,SUV,45.8326,-95.3892
204,7186005610,16500,2016.0,buick,encore,like new,4 cylinders,gas,27000.0,automatic,SUV,46.277,-99.6009
205,7186001287,15900,2011.0,chevrolet,tahoe lt,excellent,8 cylinders,gas,123000.0,automatic,SUV,46.277,-99.6009
212,7185635043,3250,2004.0,chevrolet,trailblazer ls,excellent,6 cylinders,gas,149000.0,automatic,SUV,39.3276,-78.0487
213,7185451909,6250,2010.0,ford,escape xlt,excellent,4 cylinders,gas,115000.0,automatic,SUV,38.9268,-78.1796
214,7185423752,5990,2003.0,gmc,yukon denali 4x4,excellent,8 cylinders,gas,170000.0,automatic,SUV,38.9268,-78.1796
215,7185833130,17990,2007.0,jeep,wrangler unlimited 4x4,good,6 cylinders,gas,156940.0,automatic,SUV,47.9202,-97.045
216,7185831883,22990,2011.0,jeep,wrangler unlimited 4x4,good,6 cylinders,gas,135362.0,automatic,SUV,47.9202,-97.045
221,7185253868,7990,2007.0,bmw,x5,like new,6 cylinders,gas,130000.0,automatic,SUV,38.9268,-78.1796
225,7184892156,8499,2010.0,honda,cr-v ex,excellent,4 cylinders,gas,127146.0,automatic,SUV,38.9673,-78.4092
227,7184818312,13990,2014.0,gmc,acadia awd,excellent,6 cylinders,gas,162000.0,automatic,SUV,38.9268,-78.1796
231,7185623135,6999,2009.0,gmc,acadia,good,6 cylinders,gas,149260.0,automatic,SUV,46.8759,-96.7658
234,7185575496,18900,2011.0,chevrolet,tahoe,excellent,8 cylinders,gas,105000.0,automatic,SUV,46.9209,-96.8318
236,7184371361,11495,2014.0,mazda,cx-5 touring,excellent,4 cylinders,gas,125770.0,automatic,SUV,38.8588,-77.8297
245,7185414792,16990,2015.0,lincoln,mkc,good,4 cylinders,gas,79307.0,automatic,SUV,45.9786,-94.342
250,7183757605,7500,2003.0,jeep,wrangler,good,4 cylinders,gas,158000.0,manual,SUV,38.8812,-78.0478
252,7185413441,20490,2017.0,jeep,cherokee,good,4 cylinders,gas,23595.0,automatic,SUV,45.9786,-94.342
254,7183544777,5500,2010.0,subaru,forester,fair,4 cylinders,gas,172000.0,automatic,SUV,39.1858,-78.1827
255,7183531506,3750,2003.0,hyundai,santa fe gls awd,excellent,6 cylinders,gas,164000.0,automatic,SUV,38.9268,-78.1796
256,7183468596,6250,2004.0,gmc,yukon 4x4,excellent,8 cylinders,gas,156000.0,automatic,SUV,38.9268,-78.1796
259,7183344652,4990,2003.0,chevrolet,tahoe z714x4,excellent,8 cylinders,gas,234000.0,automatic,SUV,38.9268,-78.1796
261,7191457281,13500,2013.0,chevrolet,traverse lt,excellent,6 cylinders,gas,95500.0,automatic,SUV,33.5159,-101.934
269,7185225146,25999,2016.0,gmc,terrain denali,like new,6 cylinders,gas,35500.0,automatic,SUV,46.9132,-98.036
