,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
57,7195070470,18495,2007.0,bmw,m6,excellent,10 cylinders,gas,85556.0,other,convertible,33.4542,-111.926
72,7194225022,12500,1995.0,jaguar,xjs convertible,excellent,6 cylinders,gas,82740.0,automatic,convertible,41.3229,-73.08
159,7180617522,7200,1963.0,chevrolet,corvair monza,good,6 cylinders,gas,105311.0,manual,convertible,35.2109,-78.0983
178,7194997594,5200,2004.0,volkswagen,new beetle,good,4 cylinders,gas,75346.0,automatic,convertible,35.3092,-106.529
304,7185170223,7000,1963.0,pontiac,tempest,fair,4 cylinders,gas,96000.0,manual,convertible,46.861,-96.8516
363,7187052743,106899,2004.0,ferrari,360 modena spyder,good,8 cylinders,gas,34123.0,automatic,convertible,48.7548,-122.47
443,7183298481,6490,2004.0,volkswagen,beetle convertible,good,4 cylinders,gas,54297.0,manual,convertible,47.9202,-97.045
444,7183297439,5490,2007.0,volkswagen,beetle convertible,good,5 cylinders,gas,109422.0,automatic,convertible,47.9202,-97.045
470,7185911459,8000,2007.0,pontiac,solstice,excellent,4 cylinders,gas,74000.0,automatic,convertible,48.9636,-122.732
491,7182964852,8900,2002.0,ford,thunderbird conv,excellent,8 cylinders,gas,40500.0,automatic,convertible,28.1331,-80.7112
617,7183109062,3500,2005.0,chrysler,sebring gtc,good,6 cylinders,gas,103643.0,automatic,convertible,44.0705,-93.5068
634,7184651247,11999,2008.0,bmw,3 series 335i,good,6 cylinders,gas,93940.0,automatic,convertible,48.7548,-122.47
749,7186263517,29980,2019.0,ford,mustang ecoboost,excellent,4 cylinders,gas,16368.0,automatic,convertible,47.7177,-117.412
752,7186229704,6999,1979.0,volkswagen,beetle,excellent,4 cylinders,gas,78000.0,manual,convertible,46.318,-119.377
830,7194503759,9000,2008.0,pontiac,solstice,good,4 cylinders,gas,74000.0,automatic,convertible,34.9889,-106.061
841,7194422558,12000,2020.0,chevrolet,camero,like new,4 cylinders,gas,18000.0,automatic,convertible,35.1759,-106.602
848,7194379989,3500,1999.0,mazda,miata,good,4 cylinders,gas,1495000.0,manual,convertible,35.324,-106.71
915,7194221750,20000,2005.0,chevrolet,corvette,excellent,8 cylinders,gas,47500.0,manual,convertible,35.1868,-106.665
929,7191504326,14970,1995.0,chevrolet,corvette,excellent,8 cylinders,gas,71957.0,automatic,convertible,33.7412,-116.357
930,7191408039,10970,2008.0,mercedes-benz,clk350 3.5l,excellent,6 cylinders,gas,105664.0,automatic,convertible,33.7412,-116.357
946,7191347083,5899,2010.0,chrysler,"sebring 81,000 miles",excellent,6 cylinders,gas,81000.0,automatic,convertible,33.7439,-116.359
952,7191177787,2400,1999.0,mercedes-benz,clk320,excellent,6 cylinders,gas,173000.0,automatic,convertible,33.7451,-116.352
965,7190999633,10970,1999.0,mercedes-benz,sl500,excellent,8 cylinders,gas,84664.0,automatic,convertible,33.7412,-116.357
967,7190897340,4900,2004.0,volvo,c70,excellent,5 cylinders,gas,148000.0,automatic,convertible,33.7439,-116.359
974,7190785633,5899,2010.0,chrysler,"sebring 81,000 miles",excellent,6 cylinders,gas,81000.0,automatic,convertible,33.7439,-116.359
976,7190719098,17950,2009.0,mercedes-benz,clk350 cabriolet,excellent,6 cylinders,gas,37422.0,automatic,convertible,33.7591,-116.307
979,7190566559,5899,2003.0,mitsubishi,"eclipse gts 73,000",excellent,6 cylinders,gas,73000.0,automatic,convertible,33.7439,-116.359
987,7190503163,5899,2003.0,mitsubishi,"eclipse gts 73,000",excellent,6 cylinders,gas,73000.0,automatic,convertible,33.7439,-116.359
1001,7190329238,2400,1994.0,chrysler,labaron lx,fair,6 cylinders,gas,97678.0,automatic,convertible,33.816,-116.537
1014,7189861089,88999,2010.0,ferrari,"california 19,000",excellent,8 cylinders,gas,19000.0,automatic,convertible,33.7439,-116.359
1020,7189840975,19999,1968.0,volkswagen,beetle classic bug,excellent,4 cylinders,gas,0.0,manual,convertible,33.7412,-116.357
1027,7191051299,5800,2007.0,volkswagen,eos komfort edition,excellent,4 cylinders,gas,108000.0,automatic,convertible,40.5194,-122.362
1068,7190253954,16999,2014.0,ford,mustang,excellent,6 cylinders,gas,25000.0,automatic,convertible,38.615,-121.272
1072,7190253220,10999,2010.0,bmw,1 series,excellent,6 cylinders,gas,99000.0,automatic,convertible,38.615,-121.272
1078,7190252049,10999,2010.0,bmw,1 series,excellent,6 cylinders,gas,88000.0,automatic,convertible,38.615,-121.272
1079,7190251892,25999,2003.0,mercedes-benz,sl-class,excellent,8 cylinders,gas,47000.0,automatic,convertible,38.615,-121.272
1082,7190251412,11999,2011.0,bmw,1 series,excellent,6 cylinders,gas,92000.0,automatic,convertible,38.615,-121.272
1120,7191358000,8000,1987.0,chevrolet,iroc camaro,good,8 cylinders,gas,75860.0,automatic,convertible,38.8703,-119.612
1145,7191085055,4200,2003.0,ford,mustang,good,6 cylinders,gas,108000.0,automatic,convertible,39.498,-119.824
1155,7191063972,13995,2011.0,mini,cooper convertible,excellent,4 cylinders,gas,32338.0,manual,convertible,39.4429,-119.771
1184,7190872294,12999,2012.0,volkswagen,eos,excellent,4 cylinders,gas,68603.0,automatic,convertible,39.4972,-119.776
1198,7190632916,1250,2004.0,audi,a4 quattro,fair,6 cylinders,gas,97901.0,automatic,convertible,39.5354,-119.837
1259,7190512862,9995,2006.0,mazda,mx-5,excellent,4 cylinders,gas,120545.0,manual,convertible,39.443,-119.772
1383,7189902774,17990,2002.0,chevrolet,corvette,excellent,8 cylinders,gas,70219.0,automatic,convertible,39.4956,-119.79
1399,7189867005,26990,2015.0,audi,a3 cabriolet 2.0t,excellent,4 cylinders,gas,55715.0,automatic,convertible,39.4956,-119.79
1429,7194819531,15000,2000.0,ford,mustang saleen,excellent,8 cylinders,gas,134.0,automatic,convertible,38.9472,-78.1861
1472,7194655665,6500,2006.0,mini,cooper s convertible,good,4 cylinders,gas,53500.0,automatic,convertible,38.9352,-77.3835
1484,7194547604,12800,2005.0,bmw,325ci,like new,6 cylinders,gas,36000.0,automatic,convertible,38.8458,-77.3242
1516,7194395406,11000,1994.0,jaguar,xjs,excellent,6 cylinders,gas,119000.0,automatic,convertible,40.1496,-75.3796
1571,7193945693,6500,2013.0,fiat,pop 500,excellent,4 cylinders,gas,47000.0,manual,convertible,38.9432,-77.0629
1581,7193837950,7000,2002.0,toyota,mr2 spyder convertible,good,4 cylinders,gas,68500.0,manual,convertible,38.9268,-78.1796
1596,7193727341,13900,2012.0,mazda,miata,excellent,4 cylinders,gas,45300.0,manual,convertible,39.2387,-77.2794
1602,7193681302,39500,1980.0,pontiac,gp,excellent,6 cylinders,gas,31260.0,automatic,convertible,38.7911,-77.1875
1608,7193646585,7900,2007.0,saturn,sky,excellent,4 cylinders,gas,71775.0,manual,convertible,38.9839,-77.3675
1616,7193572293,10499,2007.0,mazda,miata,excellent,4 cylinders,gas,56000.0,manual,convertible,38.9557,-77.3551
1621,7181102935,8000,2005.0,bmw,645ci convertible,good,8 cylinders,gas,164000.0,automatic,convertible,38.1131,-121.149
1693,7193504351,13500,2016.0,mini,cooper s convertible,like new,4 cylinders,gas,30500.0,automatic,convertible,38.8222,-76.9478
1701,7193155465,35217,2018.0,bmw,430i convertible,excellent,6 cylinders,gas,15500.0,manual,convertible,29.6701,-98.6873
1711,7195012360,5500,2005.0,toyota,camry solara convertible,excellent,6 cylinders,gas,175.0,manual,convertible,39.6264,-75.8458
1773,7193956575,5500,2007.0,mini,cooper convertible,excellent,4 cylinders,gas,164000.0,automatic,convertible,39.1605,-75.5974
1774,7193763351,6999,2006.0,toyota,camry solara,good,6 cylinders,gas,130434.0,automatic,convertible,40.0975,-75.1451
1860,7193708993,7500,2008.0,saturn,sky,excellent,4 cylinders,gas,84835.0,manual,convertible,28.9455,-80.8969
1862,7193656438,33990,2015.0,ford,mustang gt premium,good,8 cylinders,gas,14187.0,automatic,convertible,33.7865,-84.4454
1884,7195087755,8400,2010.0,ford,mustang conbertible,excellent,6 cylinders,gas,87000.0,automatic,convertible,26.2823,-81.7573
1886,7195072630,15750,2011.0,lexus,is 250c convertible 2d,excellent,6 cylinders,gas,84800.0,automatic,convertible,26.4197,-81.7234
1894,7194984826,5200,1997.0,mercedes-benz,sl500,good,8 cylinders,gas,136730.0,automatic,convertible,26.4722,-81.8122
1895,7194971989,10000,2000.0,mercedes-benz,benz,excellent,8 cylinders,gas,93000.0,automatic,convertible,26.3626,-81.8183
1901,7194932633,19977,2007.0,jaguar,xk,excellent,8 cylinders,gas,43534.0,automatic,convertible,26.1389,-81.7689
1905,7194923343,6799,2006.0,volkswagen,beetle,excellent,5 cylinders,gas,76937.0,automatic,convertible,26.4972,-81.8246
1908,7194911798,5999,2008.0,chrysler,sebring convertible,excellent,6 cylinders,gas,79030.0,automatic,convertible,26.4972,-81.8246
1935,7194640159,21500,2004.0,chevrolet,ssr,excellent,8 cylinders,gas,42000.0,automatic,convertible,26.2229,-81.7746
1942,7194534065,11800,2001.0,bmw,330ci,excellent,6 cylinders,gas,43000.0,automatic,convertible,26.6334,-82.0673
1953,7194373194,15000,2015.0,mazda,mx-5 miata club,excellent,4 cylinders,gas,10400.0,manual,convertible,26.4722,-81.8122
1956,7194339720,10500,1990.0,chevrolet,corvette,excellent,8 cylinders,gas,54765.0,automatic,convertible,26.3663,-81.7963
1978,7194129756,12000,2004.0,mercedes-benz,benz sl500,excellent,8 cylinders,gas,65000.0,automatic,convertible,26.5025,-81.9276
