,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
29,7193374279,9885,2012.0,subaru,forester 2.5x premium awd,excellent,4 cylinders,electric,82000.0,automatic,hatchback,41.3323,-72.7809
46,7183385106,14000,2014.0,subaru,forester 2.5i premium,good,4 cylinders,gas,73000.0,automatic,hatchback,47.9034,-91.857
182,7186362225,13995,2017.0,chevrolet,cruze,excellent,4 cylinders,gas,24335.0,automatic,hatchback,39.1453,-78.189
191,7186188094,5995,2005.0,toyota,prius,excellent,4 cylinders,hybrid,78000.0,automatic,hatchback,38.9674,-78.4096
226,7184891472,7699,2011.0,honda,fit sport,excellent,4 cylinders,gas,101758.0,automatic,hatchback,38.9673,-78.4092
233,7184609562,4990,2007.0,toyota,prius hybrid,excellent,4 cylinders,hybrid,189000.0,automatic,hatchback,38.9268,-78.1796
279,7187775621,5100,2014.0,nissan,versa note,excellent,4 cylinders,gas,42303.0,automatic,hatchback,48.6952,-122.412
344,7187169858,12900,2015.0,honda,fit ex,excellent,4 cylinders,gas,50000.0,automatic,hatchback,48.6952,-122.412
347,7184684036,6900,2013.0,toyota,prius c 3,good,4 cylinders,hybrid,130000.0,automatic,hatchback,46.8907,-96.9258
372,7184595726,2800,2005.0,volkswagen,golf,good,4 cylinders,gas,197000.0,manual,hatchback,46.798,-96.8238
390,7186638588,10000,2015.0,honda,fit,like new,4 cylinders,gas,10700.0,automatic,hatchback,48.8625,-122.595
393,7194884136,3999,2008.0,nissan,versa s,good,4 cylinders,gas,147000.0,automatic,hatchback,42.8052,-73.9195
394,7186565281,12450,2018.0,hyundai,elantra gt a/t,good,4 cylinders,gas,71032.0,automatic,hatchback,48.4608,-122.343
396,7186564668,16325,2017.0,hyundai,ioniq electric,good,4 cylinders,other,54269.0,automatic,hatchback,48.4608,-122.343
399,7186534216,7495,2005.0,toyota,matrix,good,4 cylinders,gas,125000.0,manual,hatchback,48.7596,-122.488
417,7183915139,6495,2013.0,hyundai,veloster,excellent,4 cylinders,gas,110004.0,manual,hatchback,45.8327,-95.3892
429,7183609222,3995,2006.0,toyota,prius,excellent,4 cylinders,hybrid,192420.0,automatic,hatchback,45.8327,-95.3892
487,7192808769,11450,2017.0,jeep,renegade latitude,like new,4 cylinders,gas,12000.0,automatic,hatchback,26.2522,-98.1711
497,7192806236,9980,2019.0,chevrolet,cruze rs,like new,4 cylinders,gas,22000.0,automatic,hatchback,26.1919,-98.1238
510,7194874525,5499,2011.0,mazda,2,good,4 cylinders,gas,114000.0,automatic,hatchback,42.8052,-73.9195
518,7182212711,6000,2014.0,ford,fiesta,excellent,4 cylinders,gas,73000.0,manual,hatchback,28.34,-80.7211
567,7181477340,8950,2016.0,ford,fiesta,good,4 cylinders,gas,42810.0,automatic,hatchback,7.81584,-88.6978
583,7182785364,8500,2012.0,mini,cooper countryman s,excellent,4 cylinders,gas,102000.0,automatic,hatchback,30.4291,-84.1955
591,7182763947,8500,2013.0,mini,cooper countryman s,excellent,4 cylinders,gas,120000.0,automatic,hatchback,30.4291,-84.1955
665,7184185657,7249,2011.0,subaru,impreza outback sport,excellent,4 cylinders,gas,144250.0,manual,hatchback,48.6952,-122.412
681,7183608806,2000,1998.0,honda,civic hatchback,good,4 cylinders,gas,165761.0,automatic,hatchback,48.8625,-122.595
683,7194781231,4995,2014.0,chevrolet,sonic ls,excellent,4 cylinders,gas,115000.0,manual,hatchback,42.6878,-73.6383
742,7186612122,6200,2007.0,subaru,outback,good,4 cylinders,gas,108164.0,automatic,hatchback,46.0746,-119.086
753,7186195860,3500,2009.0,dodge,caliber,excellent,4 cylinders,gas,97000.0,automatic,hatchback,46.248,-119.127
762,7186030450,4500,2012.0,nissan,leaf sl hatchback 4d,good,other,electric,54900.0,automatic,hatchback,46.3844,-118.944
784,7194986712,8000,2012.0,toyota,prius v3,excellent,4 cylinders,hybrid,125325.0,automatic,hatchback,38.8415,-77.3314
796,7184998718,7000,2006.0,audi,a3 quattro,good,4 cylinders,gas,89000.0,automatic,hatchback,46.2522,-119.288
851,7182765565,5999,2011.0,toyota,prius four,good,4 cylinders,hybrid,141500.0,automatic,hatchback,27.1656,-80.2916
866,7182134724,6000,1988.0,ford,mustang,good,8 cylinders,gas,130085.0,automatic,hatchback,27.3908,-80.3246
921,7194173884,2500,2001.0,subaru,forester,good,4 cylinders,gas,163354.0,automatic,hatchback,34.9693,-106.631
960,7191074805,6999,2015.0,fiat,"500 69,000 miles 1 owner",excellent,4 cylinders,gas,69000.0,manual,hatchback,33.7439,-116.359
982,7190548491,5500,2010.0,mini,cooper,excellent,4 cylinders,gas,110000.0,manual,hatchback,33.8414,-116.535
999,7190357887,10999,2012.0,mini,cooper hardtop s,excellent,4 cylinders,gas,55542.0,other,hatchback,33.7456,-116.362
1019,7189841211,7499,2012.0,ford,focus se,excellent,4 cylinders,gas,82260.0,automatic,hatchback,33.7456,-116.362
1084,7190229710,11500,2015.0,toyota,prius five,good,4 cylinders,hybrid,96000.0,automatic,hatchback,40.5605,-122.412
1092,7193896377,5300,2011.0,mazda,3,good,4 cylinders,gas,149000.0,manual,hatchback,35.1104,-106.578
1100,7191528095,4500,2012.0,toyota,yaris le,good,4 cylinders,gas,149980.0,automatic,hatchback,38.887,-119.729
1110,7191435986,13303,2015.0,mazda,3,excellent,4 cylinders,gas,57441.0,automatic,hatchback,39.3385,-120.173
1115,7191410588,6950,2010.0,toyota,prius hybrid,excellent,4 cylinders,gas,181000.0,automatic,hatchback,39.5275,-119.776
1121,7193855512,6995,2011.0,subaru,impreza,good,4 cylinders,gas,133964.0,automatic,hatchback,35.0685,-106.622
1175,7190935988,12000,2006.0,subaru,wrx,good,4 cylinders,gas,121567.0,manual,hatchback,39.1806,-120.145
1185,7190827153,6500,1969.0,volkswagen,beetle,good,4 cylinders,gas,36121.0,automatic,hatchback,39.5473,-119.756
1196,7193724868,11800,2015.0,mini,cooper hardtop,like new,3 cylinders,gas,36000.0,manual,hatchback,35.0793,-106.627
1203,7190561501,6999,2009.0,honda,fit sport,excellent,4 cylinders,gas,107000.0,automatic,hatchback,39.5255,-119.757
1217,7190560466,4999,2005.0,volkswagen,golf gls,excellent,4 cylinders,gas,89000.0,automatic,hatchback,39.5255,-119.757
1219,7190560347,7999,2010.0,volkswagen,gti 2.0 turbo,like new,4 cylinders,gas,115000.0,manual,hatchback,39.5255,-119.757
1228,7190559717,4299,2006.0,chrysler,pt cruiser limited,like new,4 cylinders,gas,125000.0,automatic,hatchback,39.5255,-119.757
