,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
19,7195083179,4500,2006.0,dodge,grand caravan,like new,6 cylinders,gas,88000.0,automatic,mini-van,34.9693,-106.631
23,7184158164,5295,2010.0,dodge,grand caravan,good,6 cylinders,gas,159000.0,automatic,mini-van,46.7351,-92.1751
145,7186707409,5450,2006.0,chrysler,town & country touring,excellent,6 cylinders,gas,105000.0,automatic,mini-van,38.9268,-78.1796
155,7186654689,7990,2009.0,volkswagen,routan,excellent,6 cylinders,gas,95000.0,automatic,mini-van,38.9268,-78.1796
184,7194991281,4600,2007.0,chrysler,town & country touring,excellent,4 cylinders,gas,67500.0,automatic,mini-van,35.1868,-106.665
189,7186188589,4250,2000.0,toyota,sienna,excellent,6 cylinders,gas,140000.0,automatic,mini-van,38.9674,-78.4096
200,7186116023,14600,2016.0,chrysler,town & country,like new,6 cylinders,gas,45000.0,automatic,mini-van,46.9209,-96.8318
211,7185826028,7990,2009.0,honda,odyssey exl,excellent,6 cylinders,gas,120000.0,automatic,mini-van,38.9268,-78.1796
220,7185259666,4750,2003.0,honda,odyssey exl,excellent,6 cylinders,gas,141000.0,automatic,mini-van,38.9268,-78.1796
244,7184276742,7250,2010.0,dodge,grand caravan,excellent,6 cylinders,gas,129000.0,automatic,mini-van,38.9674,-78.4096
271,7195135301,13250,2011.0,toyota,sienna limited awd,excellent,6 cylinders,gas,130055.0,automatic,mini-van,39.1355,-77.2822
273,7187906288,6995,2008.0,toyota,sienna le 7-passenger,good,6 cylinders,gas,149553.0,automatic,mini-van,48.7535,-122.469
275,7187906044,14995,2012.0,toyota,sienna 7-passenger,good,6 cylinders,gas,62922.0,automatic,mini-van,48.7535,-122.469
297,7187606642,6870,2008.0,honda,odyssey ex-l,good,6 cylinders,gas,167882.0,automatic,mini-van,48.7551,-122.472
299,7187600980,3995,2005.0,chrysler,town & country,good,6 cylinders,gas,237600.0,automatic,mini-van,48.7551,-122.472
303,7185170261,6999,2009.0,chrysler,town & country,good,6 cylinders,gas,122000.0,automatic,mini-van,46.9132,-98.036
305,7185164235,6899,2008.0,chrysler,town & country,good,6 cylinders,gas,124000.0,automatic,mini-van,46.9132,-98.036
325,7187282132,10850,2012.0,chrysler,town and country,good,6 cylinders,other,72095.0,automatic,mini-van,48.7535,-122.469
336,7193265415,3200,2005.0,chrysler,town & country,excellent,6 cylinders,gas,168000.0,automatic,mini-van,26.1771,-98.187
338,7187244129,5300,2006.0,toyota,sienna,good,6 cylinders,gas,215000.0,automatic,mini-van,48.7974,-122.445
