,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
38,7183798809,3900,2004.0,ford,f-150,good,8 cylinders,gas,156559.0,automatic,pickup,46.8038,-92.3667
63,7187986347,26500,1967.0,chevrolet,c-10,excellent,8 cylinders,gas,500.0,automatic,pickup,46.2744,-96.7261
64,7187979637,2500,1998.0,ram,1500,fair,8 cylinders,gas,165000.0,automatic,pickup,46.8172,-95.8453
69,7195165596,3500,2002.0,dodge,dakota club cab,fair,8 cylinders,gas,153000.0,automatic,pickup,41.5986,-73.3663
81,7191591685,4900,2003.0,ford,f-150,good,8 cylinders,gas,187000.0,automatic,pickup,33.6504,-101.679
83,7187823211,7990,2006.0,ford,super duty f-350 srw,excellent,10 cylinders,gas,223000.0,automatic,pickup,46.45,-95.1247
84,7187823050,23990,2008.0,gmc,tc8500,excellent,6 cylinders,diesel,319000.0,automatic,pickup,46.45,-95.1247
135,7187117269,4500,1997.0,chevrolet,cheyenne 1500,fair,8 cylinders,gas,79198.0,automatic,pickup,46.8176,-96.067
152,7186655058,22780,2012.0,ram,1500,excellent,8 cylinders,gas,54062.0,automatic,pickup,39.141,-78.1909
160,7186622263,24999,2015.0,ram,1500,excellent,8 cylinders,gas,91001.0,automatic,pickup,39.1411,-78.1908
161,7186615015,24980,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,93988.0,automatic,pickup,39.141,-78.1909
202,7186071314,11500,2004.0,chevrolet,silverado 2500hd 4x4,good,8 cylinders,gas,135000.0,automatic,pickup,46.711,-96.5554
209,7185858806,29990,2018.0,ford,f-150,excellent,6 cylinders,gas,53000.0,automatic,pickup,46.45,-95.1247
210,7185858251,13990,2009.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,144000.0,automatic,pickup,46.45,-95.1247
217,7185830655,19990,2011.0,ford,f-350 xlt 4x4,good,8 cylinders,gas,128647.0,automatic,pickup,47.9202,-97.045
218,7185829124,23990,2008.0,ford,f-450 xl super duty,good,8 cylinders,diesel,133183.0,automatic,pickup,47.9202,-97.045
219,7185827934,19990,2013.0,chevrolet,avalanche black diamond,excellent,8 cylinders,gas,123212.0,automatic,pickup,47.9202,-97.045
229,7185637009,2500,1966.0,ford,f100,fair,8 cylinders,gas,100755.0,manual,pickup,45.5921,-95.9172
238,7184281050,9995,2003.0,chevrolet,avalanche,excellent,8 cylinders,gas,133000.0,automatic,pickup,38.9674,-78.4096
260,7183012699,6000,2000.0,toyota,tacoma,excellent,4 cylinders,gas,162000.0,automatic,pickup,39.18,-78.645
262,7191408642,8000,2012.0,ford,f-150,good,8 cylinders,gas,228000.0,automatic,pickup,33.5159,-101.934
266,7185241749,26950,2013.0,ram,1500 sport,excellent,8 cylinders,gas,68000.0,automatic,pickup,46.9132,-98.036
278,7185214984,7999,2004.0,ram,2500 4x4,good,8 cylinders,gas,194000.0,automatic,pickup,46.9132,-98.036
285,7185205870,27999,2007.0,ram,3500,excellent,6 cylinders,diesel,68000.0,automatic,pickup,46.9132,-98.036
