,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
0,7184712241,16995,2007.0,gmc,sierra classic 2500hd,good,8 cylinders,diesel,254217.0,automatic,truck,45.6836,-92.9648
1,7184711787,13995,2012.0,ford,f-150,good,6 cylinders,gas,188406.0,automatic,truck,45.6836,-92.9648
5,7184708752,12995,2004.0,ram,2500,good,6 cylinders,diesel,309621.0,automatic,truck,45.6836,-92.9648
6,7184707480,10995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,210865.0,automatic,truck,45.6836,-92.9648
7,7184707048,12450,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,150959.0,automatic,truck,45.6836,-92.9648
8,7184706576,15995,2011.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,223470.0,automatic,truck,45.6836,-92.9648
9,7184706151,11995,2009.0,chevrolet,silverado 1500,good,8 cylinders,gas,170684.0,automatic,truck,45.6836,-92.9648
10,7184705334,10995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,208016.0,automatic,truck,45.6836,-92.9648
11,7184704468,9450,2008.0,chevrolet,silverado 1500,good,8 cylinders,gas,196913.0,automatic,truck,45.6836,-92.9648
12,7184703651,14995,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,102462.0,automatic,truck,45.6836,-92.9648
14,7195084414,9900,2003.0,chevrolet,silverado,good,8 cylinders,diesel,299000.0,automatic,truck,34.9693,-106.631
28,7195072023,19995,2005.0,ford,super duty f-350 drw,excellent,8 cylinders,diesel,167828.0,other,truck,33.4542,-111.926
30,7195071913,17995,2008.0,ford,super duty f-350 srw king,excellent,8 cylinders,diesel,229937.0,automatic,truck,33.4542,-111.926
33,7195071572,27995,2011.0,ford,super duty f-250 pickup,excellent,8 cylinders,diesel,225858.0,automatic,truck,33.4542,-111.926
34,7195071505,24995,2001.0,ford,f-150 lightning,excellent,8 cylinders,gas,110000.0,automatic,truck,33.4542,-111.926
35,7183970079,3745,2006.0,ford,f150 xl,good,6 cylinders,gas,186200.0,automatic,truck,46.1872,-92.8216
39,7195071381,20995,2006.0,ram,2500 laramie,excellent,6 cylinders,diesel,208453.0,automatic,truck,33.4542,-111.926
40,7183727204,60000,2018.0,gmc,sierra denali 2500 hd,excellent,8 cylinders,diesel,81000.0,automatic,truck,46.74,-92.1581
44,7183590122,2000,1989.0,chevrolet,silverado,fair,8 cylinders,gas,85000.0,manual,truck,46.7606,-92.266
55,7183125328,20000,2015.0,ford,f-150,excellent,6 cylinders,gas,92000.0,automatic,truck,46.7016,-92.0912
85,7187817070,19900,2016.0,chevrolet,silverado 1500,good,8 cylinders,gas,141118.0,automatic,truck,46.9143,-95.0349
91,7187686808,5039,2005.0,dodge,dakota,good,8 cylinders,gas,176580.0,automatic,truck,46.8343,-96.8151
142,7186960934,5500,1996.0,chevrolet,silverado 1500,good,8 cylinders,gas,133000.0,automatic,truck,46.8172,-95.8453
148,7186703596,6500,2006.0,gmc,w4500,excellent,4 cylinders,diesel,290000.0,automatic,truck,46.8907,-96.9258
153,7186646350,10000,2010.0,ford,f-150,excellent,8 cylinders,gas,113000.0,automatic,truck,46.273,-96.607
230,7184752942,10990,2009.0,ford,ranger 4x4,good,6 cylinders,gas,114000.0,automatic,truck,38.9268,-78.1796
253,7183674512,12990,2007.0,ford,f150 king ranch,excellent,8 cylinders,gas,143000.0,automatic,truck,38.9268,-78.1796
263,7193371115,1,2010.0,gmc,sierra 1500,excellent,8 cylinders,gas,186049.0,automatic,truck,26.2736,-98.3552
309,7187599462,11995,2004.0,ford,f250 super duty,good,8 cylinders,diesel,198900.0,automatic,truck,48.7551,-122.472
310,7185158827,21999,2013.0,chevrolet,silverado 1500,like new,8 cylinders,gas,57900.0,automatic,truck,46.9132,-98.036
339,7187211331,4500,1983.0,dodge,w150,good,8 cylinders,gas,87000.0,automatic,truck,48.9372,-122.459
341,7193241257,12900,2011.0,ford,f-150,excellent,8 cylinders,gas,175325.0,automatic,truck,26.1771,-98.252
345,7195096726,19500,1967.0,chevrolet,c10,good,8 cylinders,gas,1000000.0,automatic,truck,39.1164,-77.7802
366,7187048282,24000,1999.0,ford,f350 mark iii,excellent,6 cylinders,diesel,96200.0,automatic,truck,48.9025,-122.706
374,7184345735,5200,2005.0,ford,f-150,good,8 cylinders,gas,154000.0,automatic,truck,46.276,-96.0904
405,7195088427,8900,2005.0,ram,1500,good,8 cylinders,gas,145000.0,automatic,truck,39.1486,-77.0268
406,7195087487,4900,2001.0,chevrolet,s-10,good,4 cylinders,gas,139000.0,automatic,truck,39.1541,-77.0686
445,7183084769,9000,2010.0,gmc,sierra 1500,good,8 cylinders,gas,249750.0,automatic,truck,46.8759,-96.7658
459,7186701194,9500,2010.0,ford,f-150,good,8 cylinders,gas,222000.0,automatic,truck,44.3351,-93.9811
467,7185974908,6500,2005.0,ford,f-150,excellent,8 cylinders,gas,169000.0,automatic,truck,48.749,-122.489
478,7185891430,20950,2016.0,gmc,sierra,good,8 cylinders,gas,29974.0,automatic,truck,48.4955,-122.607
482,7185888476,73950,2019.0,ford,f350,excellent,8 cylinders,diesel,25500.0,automatic,truck,48.4955,-122.607
498,7192804522,3450,2000.0,mazda,b3000,excellent,6 cylinders,gas,132.0,automatic,truck,25.9112,-97.4855
519,7182208957,9950,2010.0,ford,ranger,good,6 cylinders,gas,87360.0,automatic,truck,7.81584,-88.6978
524,7182064618,6200,2004.0,ford,explorer sport trac xlt,excellent,6 cylinders,gas,119223.0,automatic,truck,28.3951,-80.7494
546,7181544535,6000,1995.0,ford,f350,good,8 cylinders,diesel,260000.0,automatic,truck,28.2738,-80.657
578,7184092588,1700,1997.0,chevrolet,cheyenne 1500,fair,8 cylinders,gas,2564237.0,automatic,truck,44.1727,-94.0087
579,7185050510,9999,2004.0,toyota,tacoma,excellent,4 cylinders,gas,202000.0,manual,truck,48.8216,-122.516
584,7182774926,15500,2012.0,ford,f-150 lariat,excellent,6 cylinders,gas,149000.0,automatic,truck,30.4291,-84.1955
593,7182664073,7500,2006.0,ford,f-150,excellent,8 cylinders,gas,236000.0,automatic,truck,30.4842,-84.0654
595,7182272327,4500,2006.0,ford,f-150,excellent,6 cylinders,gas,152000.0,automatic,truck,30.4286,-84.2593
616,7194809096,57500,2018.0,ford,f450 x-cab 4x4,excellent,8 cylinders,diesel,118000.0,automatic,truck,42.0853,-72.5584
624,7184839090,10900,2008.0,chevrolet,silverado 1500 lt 4x4,like new,8 cylinders,gas,180000.0,automatic,truck,48.8124,-122.486
644,7184606387,20950,2016.0,gmc,sierra,good,8 cylinders,gas,29974.0,automatic,truck,48.4955,-122.607
699,7183280983,8250,2003.0,chevrolet,silverado 2500 ls 4dr,good,8 cylinders,gas,218000.0,automatic,truck,48.6788,-122.296
703,7187954228,17500,2010.0,ram,1500 4x4,excellent,8 cylinders,gas,159000.0,automatic,truck,46.477,-119.075
704,7187862924,37980,2016.0,ford,f-150 xlt sport package,excellent,8 cylinders,gas,87795.0,automatic,truck,47.7177,-117.412
713,7187728791,53999,2017.0,ford,f-150 limited ecoboost,excellent,6 cylinders,gas,30244.0,automatic,truck,47.7177,-117.412
714,7187589425,41980,2017.0,toyota,tacoma sr5 loaded crew,excellent,6 cylinders,gas,18868.0,automatic,truck,47.7177,-117.412
719,7187299265,8500,1997.0,ford,f-250,fair,8 cylinders,diesel,269000.0,automatic,truck,46.3844,-118.944
731,7186891556,34000,2015.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,40000.0,automatic,truck,46.2057,-119.141
736,7186817290,6800,2002.0,chevrolet,silverado,good,8 cylinders,gas,320000.0,automatic,truck,46.3844,-118.944
743,7186580548,39980,2017.0,ford,f-150 xlt hd payload,excellent,6 cylinders,gas,42501.0,automatic,truck,47.7177,-117.412
786,7185492141,3500,2003.0,dodge,dakota,good,8 cylinders,gas,220000.0,automatic,truck,46.1933,-119.254
787,7185473314,18000,2001.0,ford,f550,fair,8 cylinders,diesel,236000.0,automatic,truck,45.6605,-118.783
788,7185472994,40980,2018.0,nissan,titan pro-4x edition,excellent,8 cylinders,gas,17568.0,automatic,truck,47.7177,-117.412
806,7194661250,13995,2008.0,gmc,sierra 1500,good,8 cylinders,gas,189707.0,automatic,truck,35.0865,-106.564
807,7194661042,35995,2011.0,ford,f-350 sd,good,8 cylinders,diesel,98455.0,automatic,truck,35.0865,-106.564
808,7194660845,10995,2009.0,chevrolet,silverado 1500,good,8 cylinders,gas,129550.0,automatic,truck,35.0865,-106.564
809,7194660618,42995,2018.0,chevrolet,silverado 2500hd,good,8 cylinders,diesel,67078.0,automatic,truck,35.0865,-106.564
816,7192129281,17900,2016.0,chevrolet,silverado,like new,8 cylinders,gas,87000.0,automatic,truck,26.2937,-98.3008
829,7194511551,50995,2018.0,chevrolet,silverado 1500,like new,8 cylinders,gas,40393.0,automatic,truck,35.0873,-106.558
834,7194461897,23999,2014.0,ford,f150 king ranch 4x4,excellent,8 cylinders,gas,130359.0,automatic,truck,35.0712,-106.525
836,7194458999,34999,2015.0,chevrolet,silverado 1500 z71,excellent,8 cylinders,gas,97139.0,automatic,truck,35.0712,-106.525
843,7194408159,29999,2015.0,ford,f-150,excellent,6 cylinders,gas,48150.0,automatic,truck,35.1307,-106.516
844,7194403313,32995,2019.0,ram,1500,like new,8 cylinders,gas,3039.0,automatic,truck,35.0873,-106.558
850,7194377029,44540,2017.0,toyota,tundra crewmax 4x4,excellent,8 cylinders,gas,45039.0,automatic,truck,35.0873,-106.558
855,7182459515,34900,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,94990.0,automatic,truck,27.3908,-80.3246
881,7181727723,18800,2012.0,ford,f350 super duty,excellent,8 cylinders,diesel,266538.0,automatic,truck,27.3908,-80.3246
903,7181285802,10000,2002.0,ford,f250 super duty,excellent,8 cylinders,diesel,286000.0,automatic,truck,27.1656,-80.2916
904,7182996353,14990,2015.0,ford,f-250 super duty xl,excellent,8 cylinders,gas,178362.0,automatic,truck,27.2866,-82.477
906,7182980567,20990,2012.0,ford,f-350 super duty xl,excellent,8 cylinders,diesel,165297.0,automatic,truck,27.2866,-82.477
907,7182948094,17990,2012.0,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,215445.0,automatic,truck,27.2866,-82.477
908,7182938859,17990,2011.0,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,180183.0,automatic,truck,27.2866,-82.477
909,7182929477,10990,2012.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,207146.0,automatic,truck,27.2866,-82.477
910,7182895528,22990,2013.0,ford,f-350 super duty xl,excellent,8 cylinders,diesel,125733.0,automatic,truck,27.2866,-82.477
927,7193972649,3500,1993.0,ford,f-150,good,8 cylinders,gas,95.0,automatic,truck,34.7806,-106.712
980,7190566496,16999,2008.0,ford,f-150 4wd fxr off road,excellent,8 cylinders,gas,69000.0,automatic,truck,33.7439,-116.359
992,7190479352,19500,2014.0,nissan,frontier crew cab 4x4 sv,like new,6 cylinders,gas,43700.0,automatic,truck,33.6119,-116.243
993,7190459944,14999,2014.0,ford,f-150 xl,excellent,8 cylinders,gas,150216.0,automatic,truck,33.7456,-116.362
1005,7190211647,14500,2011.0,ford,f150,excellent,6 cylinders,gas,83495.0,automatic,truck,33.9163,-118.297
1012,7189936516,4950,1999.0,ram,2500,good,8 cylinders,gas,220000.0,automatic,truck,34.1296,-116.313
1013,7189879224,31900,2018.0,ford,f-150 xlt,excellent,6 cylinders,gas,62000.0,automatic,truck,33.7412,-116.357
1016,7189857792,16999,2008.0,ford,f-150 4wd fxr off road,excellent,8 cylinders,gas,69000.0,automatic,truck,33.7439,-116.359
1022,7191500776,5500,1997.0,toyota,tacoma,fair,6 cylinders,gas,307.0,manual,truck,40.746,-122.843
1035,7190349472,5000,2003.0,nissan,frontier xe,good,6 cylinders,gas,200000.0,automatic,truck,40.5775,-122.404
1085,7193899703,37995,2019.0,ford,ranger lariat,like new,4 cylinders,gas,8391.0,automatic,truck,35.0873,-106.558
1094,7193886777,7200,2002.0,ford,f-250 super duty,like new,8 cylinders,gas,183000.0,automatic,truck,35.1104,-106.578
1101,7191523093,26999,2018.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,64949.0,automatic,truck,37.6098,-120.995
1102,7191522040,15500,2009.0,toyota,tacoma double cab,good,6 cylinders,gas,226561.0,automatic,truck,39.1806,-120.145
1104,7192652243,35000,2012.0,gmc,sierra 3500hd,good,8 cylinders,diesel,165000.0,automatic,truck,32.0199,-102.148
1105,7192557853,34500,2015.0,ford,f550,like new,8 cylinders,diesel,107000.0,automatic,truck,35.147,-97.372
1109,7193875174,6500,2003.0,ford,f150 super cab xlt,good,6 cylinders,gas,195500.0,automatic,truck,35.1329,-106.567
