,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
98,7187421131,18333,2013.0,chevrolet,express passenger,good,8 cylinders,gas,119598.0,automatic,van,45.5534,-94.2318
99,7187420856,19788,2014.0,chevrolet,express cargo van,good,8 cylinders,gas,79091.0,automatic,van,45.5534,-94.2318
100,7187420715,16488,2013.0,chevrolet,express cargo van,good,8 cylinders,gas,131164.0,automatic,van,45.5534,-94.2318
101,7187420433,23488,2011.0,chevrolet,express passenger,good,8 cylinders,gas,53646.0,automatic,van,45.5534,-94.2318
102,7187420284,14600,2010.0,chevrolet,express,good,8 cylinders,gas,150778.0,automatic,van,45.5534,-94.2318
103,7187419829,21999,2013.0,chevrolet,express cargo van,good,8 cylinders,gas,74273.0,automatic,van,45.5534,-94.2318
104,7187419694,22488,2013.0,chevrolet,express passenger,good,8 cylinders,gas,78507.0,automatic,van,45.5534,-94.2318
105,7187419551,14980,2011.0,chevrolet,express cargo van,good,8 cylinders,gas,146660.0,automatic,van,45.5534,-94.2318
106,7187419387,21970,2013.0,chevrolet,express passenger,good,8 cylinders,gas,86643.0,automatic,van,45.5534,-94.2318
107,7187419235,22994,2014.0,chevrolet,express passenger,good,8 cylinders,gas,90822.0,automatic,van,45.5534,-94.2318
108,7187419086,19750,2014.0,chevrolet,express cargo van,good,8 cylinders,gas,109527.0,automatic,van,45.5534,-94.2318
109,7187418957,21969,2011.0,chevrolet,express passenger,good,8 cylinders,gas,73766.0,automatic,van,45.5534,-94.2318
110,7187418796,13888,2013.0,chevrolet,express cargo van,good,8 cylinders,gas,185423.0,automatic,van,45.5534,-94.2318
111,7187418632,15788,2012.0,chevrolet,express cargo van,good,8 cylinders,gas,145996.0,automatic,van,45.5534,-94.2318
112,7187418498,12970,2014.0,chevrolet,express cargo van,good,8 cylinders,gas,198334.0,other,van,45.5534,-94.2318
113,7187418333,15777,2011.0,chevrolet,express cargo van,good,8 cylinders,gas,134177.0,automatic,van,45.5534,-94.2318
114,7187418201,22999,2009.0,chevrolet,express passenger,good,8 cylinders,gas,40533.0,automatic,van,45.5534,-94.2318
115,7187417146,11650,2012.0,chevrolet,express cargo van,good,8 cylinders,gas,198117.0,automatic,van,45.5534,-94.2318
116,7187417000,13788,2010.0,chevrolet,express cargo van,good,8 cylinders,gas,187867.0,automatic,van,45.5534,-94.2318
117,7187416690,20900,2013.0,chevrolet,express cargo van,good,8 cylinders,gas,84411.0,automatic,van,45.5534,-94.2318
118,7187416521,16970,2014.0,chevrolet,express cargo van,good,8 cylinders,gas,127411.0,automatic,van,45.5534,-94.2318
119,7187416210,16888,2008.0,chevrolet,express cargo van,good,8 cylinders,gas,99898.0,automatic,van,45.5534,-94.2318
120,7187416081,10950,2009.0,chevrolet,express cargo van,good,8 cylinders,gas,196611.0,automatic,van,45.5534,-94.2318
121,7187415930,19988,2010.0,chevrolet,express passenger,good,8 cylinders,gas,93060.0,automatic,van,45.5534,-94.2318
123,7187415438,31988,2011.0,chevrolet,express passenger,good,8 cylinders,gas,30394.0,automatic,van,45.5534,-94.2318
124,7187414953,26888,2013.0,chevrolet,express passenger,good,8 cylinders,gas,40234.0,automatic,van,45.5534,-94.2318
125,7187414454,23998,2014.0,chevrolet,express passenger,good,8 cylinders,gas,71416.0,automatic,van,45.5534,-94.2318
232,7184611751,3990,2006.0,dodge,grand caravan,excellent,6 cylinders,gas,127000.0,automatic,van,38.9268,-78.1796
251,7185413906,8990,2012.0,chrysler,town country,good,6 cylinders,gas,121352.0,automatic,van,45.9786,-94.342
335,7184936384,9795,2014.0,dodge,grand caravan,good,6 cylinders,gas,109926.0,automatic,van,46.8422,-96.7691
436,7183313236,16990,2015.0,ford,transit passenger 350 xlt,good,6 cylinders,gas,199412.0,automatic,van,47.9202,-97.045
471,7185909436,4500,1979.0,chevrolet,van 20g,good,8 cylinders,gas,221000.0,automatic,van,48.7974,-122.445
