,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
25,7195072234,18495,2014.0,subaru,wrx impreza wagon,excellent,4 cylinders,gas,113000.0,manual,wagon,33.4542,-111.926
51,7195071167,17495,2010.0,cadillac,escalade ext premium,excellent,8 cylinders,gas,192420.0,automatic,wagon,33.4542,-111.926
58,7195070205,10495,2010.0,audi,a4 avant 2.0t premium,excellent,4 cylinders,gas,104898.0,automatic,wagon,33.4542,-111.926
59,7183071536,3500,2006.0,volvo,xc70,good,5 cylinders,gas,216800.0,automatic,wagon,46.8291,-92.1064
65,7195069899,18995,2011.0,audi,a4 2.0t avant apr,excellent,4 cylinders,gas,64596.0,automatic,wagon,33.4542,-111.926
187,7186189576,4995,2003.0,pontiac,vibe,excellent,4 cylinders,gas,131000.0,automatic,wagon,38.9674,-78.4096
188,7186189330,5995,2009.0,subaru,forester,excellent,4 cylinders,gas,170000.0,automatic,wagon,38.9674,-78.4096
198,7185891902,7990,2013.0,subaru,forester premium awd,excellent,4 cylinders,gas,147000.0,automatic,wagon,38.9268,-78.1796
223,7185233908,4450,2007.0,subaru,forester awd,excellent,4 cylinders,gas,182000.0,automatic,wagon,38.9268,-78.1796
241,7184279194,5995,2010.0,subaru,forester,excellent,4 cylinders,gas,177000.0,automatic,wagon,38.9674,-78.4096
242,7184277720,7995,2008.0,subaru,outback,excellent,4 cylinders,gas,82000.0,automatic,wagon,38.9674,-78.4096
246,7184015701,4990,2008.0,subaru,outback limited awd,excellent,4 cylinders,gas,197000.0,automatic,wagon,38.9268,-78.1796
249,7194948246,4000,2007.0,subaru,outback,good,4 cylinders,gas,200500.0,automatic,wagon,42.7829,-73.6648
272,7187906518,11995,2012.0,toyota,venza le,good,4 cylinders,gas,76301.0,automatic,wagon,48.7535,-122.469
274,7187906164,29995,2016.0,lexus,nx 200t f sport,good,4 cylinders,gas,23762.0,automatic,wagon,48.7535,-122.469
316,7187598341,3490,2002.0,subaru,outback,fair,4 cylinders,gas,186709.0,manual,wagon,48.7551,-122.472
324,7194904203,2950,2002.0,volvo,v70 wagon,good,5 cylinders,gas,124000.0,automatic,wagon,35.0726,-106.575
340,7187184957,11000,2012.0,toyota,venza,excellent,6 cylinders,gas,94000.0,automatic,wagon,48.7768,-122.518
383,7186752915,10999,2009.0,toyota,venza fwd v6,good,6 cylinders,gas,88652.0,automatic,wagon,48.7535,-122.469
